Year,Rank,Team,Conference,PrimaryColor,SecondaryColor
2019,1,Stanford,Pac 12,#8c1515,#4d4f53
2019,2,Nebraska,Big Ten,#e41c38,#fdf2d9
2019,3,Texas,Big 12,#bf5700,#333f48
2019,4,BYU,WCC,#002e5d,#0062b8
2019,5,Ohio State,Big Ten,#bb0000,#666666
2019,6,TCU,Big 12,#4d1979,#a3a9ac
2019,7,Oregon,Pac 12,#154733,#feee123
2019,8,Purdue,Big Ten,#ceb888,#373a36
2019,9,USC,Pac 12,#990000,#ffc72c
2019,10,Colorado,Pac 12 ,#cfb87c,#a2a4a3
2019,11,Baylor,Big 12,#154734,#ffb81c
2019,12,Kansas,Big 12 ,#0051ba,#e8000d
2019,13,LSU,SEC,#461d7c,#fdd023
2019,14,Penn State,Big Ten,#041e42,#ffffff
2019,15,Illinois,Big Ten,#13294b,#e84a27
