Year,Rank,Team,Conference,PrimaryColor,SecondaryColor
2018,1,Penn State,Big Ten,#041e42,#ffffff
2018,2,Florida ,SEC,#fa4616,#0021a5
2018,3,Washington,Pac 12,#4b2e83,#b7a57a
2018,4,Oregon,Pac 12,#154733,#feee123
2018,5,Nebraska,Big Ten,#e41c38,#fdf2d9
2018,6,Texas,Big 12,#bf5700,#333f48
2018,7,Auburn,SEC,#0c2340,#e87722
2018,8,BYU,WCC,#002e5d,#0062b8
2018,9,North Carolina,ACC,#7bafd4,#13294b
2018,10,Creighton,Big East,#005ca9,#00235d
2018,11,UCLA,Pac 12,#2d68c4,#f2a900
2018,12,Michigan ,Big Ten ,#00274c,#ffcb05
2018,13,Purdue,Big Ten ,#ceb888,#373a36
2018,14,Minnesota,Big Ten ,#7a0019,#ffcc33
2018,15,Michigan State,Big Ten ,#18453b,#ffffff
