Year,Rank,Team,Conference,PrimaryColor,SecondaryColor
2017,1,Texas,Big 12,#bf5700,#333f48
2017,2,Wisconsin,Big Ten,#c5050c,#ffffff
2017,3,UCLA,Pac 12,#2d68c4,#f2a900
2017,4,Minnesota,Big Ten,#7a0019,#ffcc33
2017,5,Kentucky,SEC,#0033a0,#000000
2017,6,Nebraska,Big Ten,#e41c38,#fdf2d9
2017,7,Illinois,Big Ten,#13294b,#e84a27
2017,8,Florida State,ACC,#782f40,#ceb888
2017,9,Michigan State,Big Ten,#18453b,#ffffff
2017,10,Maryland,Big Ten,#e03a3e,#ffd520
2017,11,Utah,Pac 12,#cc0000,#808080
2017,12,Arizona,Pac 12 ,#cc0033,#003366
2017,13,BYU,WCC,#002e5d,#0062b8
2017,14,Ohio State,Big Ten,#bb0000,#666666
2017,15,California,Pac 12,#003262,#3b7ea1
